source	 target	 type
Udvalget for Forretningsordenen	Lone Loklindt	suit
Udvalget for Forretningsordenen	Birthe Rønn Hornbech	suit
Udvalget for Forretningsordenen	Jonas Dahl	suit
Udvalget for Forretningsordenen	Ole Hækkerup	suit
Udvalget for Forretningsordenen	Kristian Jensen	suit
Udvalget for Forretningsordenen	Peter Skaarup	suit
Udvalget for Forretningsordenen	Camilla Hersom	suit
Udvalget for Forretningsordenen	Mogens Lykketoft	suit
Udvalget for Forretningsordenen	Brian Mikkelsen	suit
Udvalget for Forretningsordenen	Simon Emil Ammitzbøll	suit
Udvalget for Forretningsordenen	Henrik Dam Kristensen	suit
Udvalget for Forretningsordenen	Karen J. Klint	suit
Udvalget for Forretningsordenen	Stine Brix	suit
Udvalget for Forretningsordenen	Pia Kjærsgaard	suit
Udvalget for Forretningsordenen	Hans Christian Schmidt	suit
Socialudvalget	Sophie Løhde	suit
Socialudvalget	Anne-Mette Winther Christiansen	suit
Socialudvalget	Karen J. Klint	suit
Socialudvalget	Finn Thranum	suit
Socialudvalget	Liv Holm Andersen	suit
Socialudvalget	Karina Adsbøl	suit
Socialudvalget	Hans Andersen	suit
Socialudvalget	Astrid Krag	suit
Socialudvalget	Pernille Rosenkrantz-Theil	suit
Socialudvalget	Julie Skovsby	suit
Socialudvalget	Mai Mercado	suit
Socialudvalget	Thyra Frank	suit
Socialudvalget	Pernille Vigsø Bagge	suit
Socialudvalget	Pernille Skipper	suit
Socialudvalget	Karen Ellemann	suit
Socialudvalget	Merete Riisager	suit
Socialudvalget	Mette Reissmann	suit
Socialudvalget	Eyvind Vesselbo	suit
Socialudvalget	Jens Joel	suit
Socialudvalget	Marlene Borst Hansen	suit
Socialudvalget	Finn Sørensen	suit
Socialudvalget	Louise Schack Elholm	suit
Socialudvalget	René Christensen	suit
Socialudvalget	Lotte Rod	suit
Socialudvalget	Jens Henrik Thulesen Dahl	suit
Socialudvalget	Orla Hav	suit
Socialudvalget	Karina Lorentzen Dehnhardt	suit
Socialudvalget	Özlem Sara Cekic	suit
Klima-	 Energi- og Bygningsudvalget	Frank Aaen	suit
Klima-	 Energi- og Bygningsudvalget	Thomas Danielsen	suit
Klima-	 Energi- og Bygningsudvalget	Villum Christensen	suit
Klima-	 Energi- og Bygningsudvalget	Lone Loklindt	suit
Klima-	 Energi- og Bygningsudvalget	Lars Dohn	suit
Klima-	 Energi- og Bygningsudvalget	Ellen Trane Nørby	suit
Klima-	 Energi- og Bygningsudvalget	Per Clausen	suit
Klima-	 Energi- og Bygningsudvalget	Pernille Rosenkrantz-Theil	suit
Klima-	 Energi- og Bygningsudvalget	Jacob Jensen	suit
Klima-	 Energi- og Bygningsudvalget	Jacob Lund	suit
Klima-	 Energi- og Bygningsudvalget	Jens Ejner Christensen	suit
Klima-	 Energi- og Bygningsudvalget	Liselott Blixt	suit
Klima-	 Energi- og Bygningsudvalget	Julie Skovsby	suit
Klima-	 Energi- og Bygningsudvalget	Mike Legarth	suit
Klima-	 Energi- og Bygningsudvalget	Kristian Pihl Lorentzen	suit
Klima-	 Energi- og Bygningsudvalget	Eyvind Vesselbo	suit
Klima-	 Energi- og Bygningsudvalget	Jens Joel	suit
Klima-	 Energi- og Bygningsudvalget	Mikkel Dencker	suit
Klima-	 Energi- og Bygningsudvalget	Lars Christian Lilleholt	suit
Klima-	 Energi- og Bygningsudvalget	Flemming Møller Mortensen	suit
Klima-	 Energi- og Bygningsudvalget	Jesper Petersen	suit
Klima-	 Energi- og Bygningsudvalget	René Christensen	suit
Klima-	 Energi- og Bygningsudvalget	Charlotte Dyremose	suit
Klima-	 Energi- og Bygningsudvalget	Lotte Rod	suit
Klima-	 Energi- og Bygningsudvalget	Kim Christiansen	suit
Udvalget til Valgs Prøvelse	Mike Legarth	suit
Udvalget til Valgs Prøvelse	Mette Gjerskov	suit
Udvalget til Valgs Prøvelse	Frank Aaen	suit
Udvalget til Valgs Prøvelse	Thomas Jensen	suit
Udvalget til Valgs Prøvelse	Peter Christensen	suit
Udvalget til Valgs Prøvelse	Torsten Schack Pedersen	suit
Udvalget til Valgs Prøvelse	Camilla Hersom	suit
Udvalget til Valgs Prøvelse	Hans Kristian Skibby	suit
Udvalget til Valgs Prøvelse	Hans Christian Thoning	suit
Udvalget til Valgs Prøvelse	Peter Juel Jensen	suit
Udvalget til Valgs Prøvelse	Leif Mikkelsen	suit
Udvalget til Valgs Prøvelse	Bent Bøgsted	suit
Udvalget til Valgs Prøvelse	Karen J. Klint	suit
Udvalget til Valgs Prøvelse	Karina Lorentzen Dehnhardt	suit
Udvalget til Valgs Prøvelse	Julie Skovsby	suit
Udvalget til Valgs Prøvelse	Ane Halsboe-Jørgensen	suit
Udvalget til Valgs Prøvelse	Pernille Skipper	suit
Udvalget for Landdistrikter og Øer	Esben Lunde Larsen	suit
Udvalget for Landdistrikter og Øer	Mette Hjermind Dencker	suit
Udvalget for Landdistrikter og Øer	Eva Kjer Hansen	suit
Udvalget for Landdistrikter og Øer	Thomas Danielsen	suit
Udvalget for Landdistrikter og Øer	Helle Løvgreen Mølvig	suit
Udvalget for Landdistrikter og Øer	Eigil Andersen	suit
Udvalget for Landdistrikter og Øer	John Dyrby Paulsen	suit
Udvalget for Landdistrikter og Øer	Karina Adsbøl	suit
Udvalget for Landdistrikter og Øer	Anni Matthiesen	suit
Udvalget for Landdistrikter og Øer	Henning Hyllested	suit
Udvalget for Landdistrikter og Øer	Jacob Lund	suit
Udvalget for Landdistrikter og Øer	Erling Bonnesen	suit
Udvalget for Landdistrikter og Øer	Annette Lind	suit
Udvalget for Landdistrikter og Øer	Bent Bøgsted	suit
Udvalget for Landdistrikter og Øer	Lennart Damsbo-Andersen	suit
Udvalget for Landdistrikter og Øer	Lars Dohn	suit
Udvalget for Landdistrikter og Øer	Mai Mercado	suit
Udvalget for Landdistrikter og Øer	Flemming Damgaard Larsen	suit
Udvalget for Landdistrikter og Øer	Torsten Schack Pedersen	suit
Udvalget for Landdistrikter og Øer	Troels Ravn	suit
Udvalget for Landdistrikter og Øer	Simon Kollerup	suit
Udvalget for Landdistrikter og Øer	Morten Marinus	suit
Udvalget for Landdistrikter og Øer	Lotte Rod	suit
Udvalget for Landdistrikter og Øer	Leif Mikkelsen	suit
Udvalget for Landdistrikter og Øer	Hans Christian Schmidt	suit
Kirkeudvalget	Bertel Haarder	suit
Kirkeudvalget	Leif Lahn Jensen	suit
Kirkeudvalget	Mette Bock	suit
Kirkeudvalget	Charlotte Dyremose	suit
Kirkeudvalget	Rasmus Horn Langhoff	suit
Kirkeudvalget	Ole Hækkerup	suit
Kirkeudvalget	Karen J. Klint	suit
Kirkeudvalget	Søren Pind	suit
Kirkeudvalget	Eigil Andersen	suit
Kirkeudvalget	Søren Espersen	suit
Kirkeudvalget	Per Clausen	suit
Kirkeudvalget	Erling Bonnesen	suit
Kirkeudvalget	Julie Skovsby	suit
Kirkeudvalget	Flemming Damgaard Larsen	suit
Kirkeudvalget	Kristian Pihl Lorentzen	suit
Kirkeudvalget	Pernille Vigsø Bagge	suit
Kirkeudvalget	Jeppe Mikkelsen	suit
Kirkeudvalget	Marie Krarup	suit
Kirkeudvalget	Christian Langballe	suit
Kirkeudvalget	Camilla Hersom	suit
Kirkeudvalget	Birgitte Josefsen	suit
Kirkeudvalget	Marlene Borst Hansen	suit
Kirkeudvalget	Jørgen Arbo-Bæhr	suit
Kirkeudvalget	Flemming Møller Mortensen	suit
Kirkeudvalget	Morten Marinus	suit
Kirkeudvalget	Birthe Rønn Hornbech	suit
Kirkeudvalget	Rosa Lund	suit
Kirkeudvalget	Orla Hav	suit
Kirkeudvalget	Hans Christian Schmidt	suit
Tingsekretærer	Karen J. Klint	suit
Tingsekretærer	Lars Christian Lilleholt	suit
Tingsekretærer	John Dyrby Paulsen	suit
Tingsekretærer	Bent Bøgsted	suit
Ligestillingsudvalget	Rasmus Prehn	suit
Ligestillingsudvalget	Rasmus Horn Langhoff	suit
Ligestillingsudvalget	Johanne Schmidt-Nielsen	suit
Ligestillingsudvalget	Finn Thranum	suit
Ligestillingsudvalget	Liv Holm Andersen	suit
Ligestillingsudvalget	Astrid Krag	suit
Ligestillingsudvalget	Pernille Rosenkrantz-Theil	suit
Ligestillingsudvalget	Louise Schack Elholm	suit
Ligestillingsudvalget	Karen Ellemann	suit
Ligestillingsudvalget	Liselott Blixt	suit
Ligestillingsudvalget	Inger Støjberg	suit
Ligestillingsudvalget	Lennart Damsbo-Andersen	suit
Ligestillingsudvalget	Jakob Engel-Schmidt	suit
Ligestillingsudvalget	Zenia Stampe	suit
Ligestillingsudvalget	Fatma Øktem	suit
Ligestillingsudvalget	Martin Henriksen	suit
Ligestillingsudvalget	Jane Heitmann	suit
Ligestillingsudvalget	Merete Riisager	suit
Ligestillingsudvalget	Mads Rørvig	suit
Ligestillingsudvalget	Hans Kristian Skibby	suit
Ligestillingsudvalget	Troels Ravn	suit
Ligestillingsudvalget	Özlem Sara Cekic	suit
Ligestillingsudvalget	Marlene Borst Hansen	suit
Ligestillingsudvalget	Jørgen Arbo-Bæhr	suit
Ligestillingsudvalget	Pia Adelsteen	suit
Ligestillingsudvalget	Charlotte Dyremose	suit
Ligestillingsudvalget	Karina Lorentzen Dehnhardt	suit
Ligestillingsudvalget	Stine Brix	suit
Indfødsretsudvalget	Liv Holm Andersen	suit
Indfødsretsudvalget	Leif Mikkelsen	suit
Indfødsretsudvalget	Jeppe Bruus	suit
Indfødsretsudvalget	Jan E. Jørgensen	suit
Indfødsretsudvalget	Karsten Nonbo	suit
Indfødsretsudvalget	Tom Behnke	suit
Indfødsretsudvalget	Marie Krarup	suit
Indfødsretsudvalget	Christian Langballe	suit
Indfødsretsudvalget	Karen J. Klint	suit
Indfødsretsudvalget	Michael Aastrup Jensen	suit
Indfødsretsudvalget	Johanne Schmidt-Nielsen	suit
Indfødsretsudvalget	Jens Joel	suit
Indfødsretsudvalget	Trine Bramsen	suit
Indfødsretsudvalget	Lennart Damsbo-Andersen	suit
Indfødsretsudvalget	Karina Lorentzen Dehnhardt	suit
Indfødsretsudvalget	Marlene Borst Hansen	suit
Indfødsretsudvalget	Preben Bang Henriksen	suit
Færøudvalget	Sophie Løhde	suit
Færøudvalget	Sjúrður Skaale	suit
Færøudvalget	Rasmus Prehn	suit
Færøudvalget	Thomas Danielsen	suit
Færøudvalget	Helle Løvgreen Mølvig	suit
Færøudvalget	Claus Hjort Frederiksen	suit
Færøudvalget	Per Stig Møller	suit
Færøudvalget	Finn Thranum	suit
Færøudvalget	Villum Christensen	suit
Færøudvalget	Lone Loklindt	suit
Færøudvalget	Torben Hansen	suit
Færøudvalget	Søren Espersen	suit
Færøudvalget	Astrid Krag	suit
Færøudvalget	Christian Juhl	suit
Færøudvalget	Nadeem Farooq	suit
Færøudvalget	Flemming Damgaard Larsen	suit
Færøudvalget	Martin Henriksen	suit
Færøudvalget	Thomas Jensen	suit
Færøudvalget	Kristian Thulesen Dahl	suit
Færøudvalget	Marie Krarup	suit
Færøudvalget	Jonas Dahl	suit
Færøudvalget	Özlem Sara Cekic	suit
Færøudvalget	Finn Sørensen	suit
Færøudvalget	Flemming Møller Mortensen	suit
Færøudvalget	Jesper Petersen	suit
Færøudvalget	Birthe Rønn Hornbech	suit
Færøudvalget	Trine Mach	suit
Færøudvalget	Edmund Joensen	suit
Færøudvalget	Kim Andersen	suit
Tilsynet med Folketingets Bibliotek	Birthe Rønn Hornbech	suit
Tilsynet med Folketingets Bibliotek	Troels Ravn	suit
Underudvalget under Udvalget for Forretningsordenen	Henrik Dam Kristensen	suit
Underudvalget under Udvalget for Forretningsordenen	Anne Baastrup	suit
Underudvalget under Udvalget for Forretningsordenen	Kristian Jensen	suit
Underudvalget under Udvalget for Forretningsordenen	Peter Skaarup	suit
Underudvalget under Udvalget for Forretningsordenen	Brian Mikkelsen	suit
Underudvalget under Udvalget for Forretningsordenen	Simon Emil Ammitzbøll	suit
Underudvalget under Udvalget for Forretningsordenen	Stine Brix	suit
Underudvalget under Udvalget for Forretningsordenen	Lone Loklindt	suit
Udvalget for Småøer	Flemming Damgaard Larsen	suit
Udvalget for Småøer	Mette Hjermind Dencker	suit
Udvalget for Småøer	Thomas Danielsen	suit
Udvalget for Småøer	Henning Hyllested	suit
Udvalget for Småøer	Hans Christian Schmidt	suit
Udvalget for Småøer	Simon Kollerup	suit
Udvalget for Småøer	Lennart Damsbo-Andersen	suit
Udvalget for Småøer	Mai Mercado	suit
Udvalget for Småøer	Eigil Andersen	suit
Tilsynet i henhold til grundlovens § 71	Orla Hav	suit
Tilsynet i henhold til grundlovens § 71	Jane Heitmann	suit
Tilsynet i henhold til grundlovens § 71	Karen Jespersen	suit
Tilsynet i henhold til grundlovens § 71	Liselott Blixt	suit
Tilsynet i henhold til grundlovens § 71	Özlem Sara Cekic	suit
Tilsynet i henhold til grundlovens § 71	Marlene Borst Hansen	suit
Tilsynet i henhold til grundlovens § 71	Karen J. Klint	suit
Tilsynet i henhold til grundlovens § 71	Stine Brix	suit
Tilsynet i henhold til grundlovens § 71	Thyra Frank	suit
Europaudvalgets Underudvalg	Nikolaj Villumsen	suit
Europaudvalgets Underudvalg	Mette Bock	suit
Europaudvalgets Underudvalg	Eva Kjer Hansen	suit
Europaudvalgets Underudvalg	Mette Reissmann	suit
Europaudvalgets Underudvalg	Camilla Hersom	suit
Europaudvalgets Underudvalg	Per Stig Møller	suit
Europaudvalgets Underudvalg	Lisbeth Bech Poulsen	suit
Europaudvalgets Underudvalg	Pia Adelsteen	suit
