source	 target	 type
Udenrigsudvalget	Per Stig Møller	suit
Udenrigsudvalget	Lone Loklindt	suit
Udenrigsudvalget	Ane Halsboe-Jørgensen	suit
Udenrigsudvalget	Esben Lunde Larsen	suit
Udenrigsudvalget	Liv Holm Andersen	suit
Udenrigsudvalget	Søren Espersen	suit
Udenrigsudvalget	Ellen Trane Nørby	suit
Udenrigsudvalget	Christian Juhl	suit
Udenrigsudvalget	Jacob Lund	suit
Udenrigsudvalget	Jens Ejner Christensen	suit
Udenrigsudvalget	Peter Juel Jensen	suit
Udenrigsudvalget	Zenia Stampe	suit
Udenrigsudvalget	Nikolaj Villumsen	suit
Udenrigsudvalget	Mette Gjerskov	suit
Udenrigsudvalget	Holger K. Nielsen	suit
Udenrigsudvalget	Jakob Ellemann-Jensen	suit
Udenrigsudvalget	Mads Rørvig	suit
Udenrigsudvalget	Hans Kristian Skibby	suit
Udenrigsudvalget	Peter Skaarup	suit
Udenrigsudvalget	Jeppe Bruus	suit
Udenrigsudvalget	Morten Bødskov	suit
Udenrigsudvalget	Pia Adelsteen	suit
Udenrigsudvalget	Henrik Dam Kristensen	suit
Udenrigsudvalget	Trine Mach	suit
Skatteudvalget	Frank Aaen	suit
Skatteudvalget	Thomas Danielsen	suit
Skatteudvalget	Ane Halsboe-Jørgensen	suit
Skatteudvalget	John Dyrby Paulsen	suit
Skatteudvalget	Karina Adsbøl	suit
Skatteudvalget	Hans Andersen	suit
Skatteudvalget	Astrid Krag	suit
Skatteudvalget	Pernille Rosenkrantz-Theil	suit
Skatteudvalget	Jacob Jensen	suit
Skatteudvalget	Nadeem Farooq	suit
Skatteudvalget	Kristian Pihl Lorentzen	suit
Skatteudvalget	Nikolaj Villumsen	suit
Skatteudvalget	Thomas Jensen	suit
Skatteudvalget	Troels Lund Poulsen	suit
Skatteudvalget	Torsten Schack Pedersen	suit
Skatteudvalget	Mads Rørvig	suit
Skatteudvalget	Hans Kristian Skibby	suit
Skatteudvalget	Brian Mikkelsen	suit
Skatteudvalget	Mikkel Dencker	suit
Skatteudvalget	Lisbeth Bech Poulsen	suit
Skatteudvalget	Jesper Petersen	suit
Skatteudvalget	Ole Birk Olesen	suit
Skatteudvalget	Jan E. Jørgensen	suit
Skatteudvalget	Simon Kollerup	suit
Skatteudvalget	Trine Mach	suit
Skatteudvalget	Lotte Rod	suit
Skatteudvalget	Dennis Flydtkjær	suit
Skatteudvalget	Stine Brix	suit
Retsudvalget	Marlene Borst Hansen	suit
Retsudvalget	Rasmus Prehn	suit
Retsudvalget	Johanne Schmidt-Nielsen	suit
Retsudvalget	Karsten Lauritzen	suit
Retsudvalget	Doris Jakobsen	suit
Retsudvalget	Henning Hyllested	suit
Retsudvalget	Peter Skaarup	suit
Retsudvalget	Inger Støjberg	suit
Retsudvalget	Julie Skovsby	suit
Retsudvalget	Zenia Stampe	suit
Retsudvalget	Karsten Nonbo	suit
Retsudvalget	Kristian Pihl Lorentzen	suit
Retsudvalget	Pernille Vigsø Bagge	suit
Retsudvalget	Pernille Skipper	suit
Retsudvalget	Tom Behnke	suit
Retsudvalget	Mette Reissmann	suit
Retsudvalget	Jeppe Mikkelsen	suit
Retsudvalget	Jeppe Bruus	suit
Retsudvalget	Pia Adelsteen	suit
Retsudvalget	Astrid Krag	suit
Retsudvalget	Jan E. Jørgensen	suit
Retsudvalget	Karen Jespersen	suit
Retsudvalget	Simon Emil Ammitzbøll	suit
Retsudvalget	Trine Bramsen	suit
Retsudvalget	Dennis Flydtkjær	suit
Retsudvalget	Karina Lorentzen Dehnhardt	suit
Retsudvalget	Kim Christiansen	suit
Retsudvalget	Kim Andersen	suit
Retsudvalget	Preben Bang Henriksen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Anne-Mette Winther Christiansen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Frank Aaen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Mette Hjermind Dencker	suit
Erhvervs-	 Vækst- og Eksportudvalget	Ida Auken	suit
Erhvervs-	 Vækst- og Eksportudvalget	Michael Aastrup Jensen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Hans Christian Thoning	suit
Erhvervs-	 Vækst- og Eksportudvalget	Jakob Engel-Schmidt	suit
Erhvervs-	 Vækst- og Eksportudvalget	Julie Skovsby	suit
Erhvervs-	 Vækst- og Eksportudvalget	Thomas Jensen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Mette Reissmann	suit
Erhvervs-	 Vækst- og Eksportudvalget	Jeppe Mikkelsen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Torsten Schack Pedersen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Hans Kristian Skibby	suit
Erhvervs-	 Vækst- og Eksportudvalget	Brian Mikkelsen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Nadeem Farooq	suit
Erhvervs-	 Vækst- og Eksportudvalget	Lisbeth Bech Poulsen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Uffe Elbæk	suit
Erhvervs-	 Vækst- og Eksportudvalget	Ole Sohn	suit
Erhvervs-	 Vækst- og Eksportudvalget	Anne Sina	suit
Erhvervs-	 Vækst- og Eksportudvalget	Joachim B. Olsen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Trine Bramsen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Dennis Flydtkjær	suit
Erhvervs-	 Vækst- og Eksportudvalget	Stine Brix	suit
Erhvervs-	 Vækst- og Eksportudvalget	Kim Christiansen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Hans Christian Schmidt	suit
Erhvervs-	 Vækst- og Eksportudvalget	Kim Andersen	suit
Erhvervs-	 Vækst- og Eksportudvalget	Preben Bang Henriksen	suit
Sundheds- og Forebyggelsesudvalget	Sophie Løhde	suit
Sundheds- og Forebyggelsesudvalget	Mette Hjermind Dencker	suit
Sundheds- og Forebyggelsesudvalget	Rasmus Horn Langhoff	suit
Sundheds- og Forebyggelsesudvalget	Karen J. Klint	suit
Sundheds- og Forebyggelsesudvalget	Finn Thranum	suit
Sundheds- og Forebyggelsesudvalget	Eigil Andersen	suit
Sundheds- og Forebyggelsesudvalget	Liv Holm Andersen	suit
Sundheds- og Forebyggelsesudvalget	Karina Adsbøl	suit
Sundheds- og Forebyggelsesudvalget	Hans Andersen	suit
Sundheds- og Forebyggelsesudvalget	Per Clausen	suit
Sundheds- og Forebyggelsesudvalget	Liselott Blixt	suit
Sundheds- og Forebyggelsesudvalget	Annette Lind	suit
Sundheds- og Forebyggelsesudvalget	Julie Skovsby	suit
Sundheds- og Forebyggelsesudvalget	Mai Mercado	suit
Sundheds- og Forebyggelsesudvalget	Thyra Frank	suit
Sundheds- og Forebyggelsesudvalget	Jane Heitmann	suit
Sundheds- og Forebyggelsesudvalget	Jonas Dahl	suit
Sundheds- og Forebyggelsesudvalget	Camilla Hersom	suit
Sundheds- og Forebyggelsesudvalget	Eyvind Vesselbo	suit
Sundheds- og Forebyggelsesudvalget	Özlem Sara Cekic	suit
Sundheds- og Forebyggelsesudvalget	Marlene Borst Hansen	suit
Sundheds- og Forebyggelsesudvalget	Martin Geertsen	suit
Sundheds- og Forebyggelsesudvalget	Flemming Møller Mortensen	suit
Sundheds- og Forebyggelsesudvalget	Anne Sina	suit
Sundheds- og Forebyggelsesudvalget	Jens Henrik Thulesen Dahl	suit
Sundheds- og Forebyggelsesudvalget	Simon Emil Ammitzbøll	suit
Sundheds- og Forebyggelsesudvalget	Orla Hav	suit
Sundheds- og Forebyggelsesudvalget	Stine Brix	suit
Sundheds- og Forebyggelsesudvalget	Hans Christian Schmidt	suit
Transportudvalget	Rasmus Prehn	suit
Transportudvalget	Rasmus Horn Langhoff	suit
Transportudvalget	Thomas Danielsen	suit
Transportudvalget	Ida Auken	suit
Transportudvalget	Villum Christensen	suit
Transportudvalget	Lone Loklindt	suit
Transportudvalget	Lars Dohn	suit
Transportudvalget	Per Clausen	suit
Transportudvalget	Henning Hyllested	suit
Transportudvalget	Anita Christensen	suit
Transportudvalget	Flemming Damgaard Larsen	suit
Transportudvalget	Karsten Nonbo	suit
Transportudvalget	Kristian Pihl Lorentzen	suit
Transportudvalget	Tom Behnke	suit
Transportudvalget	Mette Reissmann	suit
Transportudvalget	Jens Joel	suit
Transportudvalget	Martin Geertsen	suit
Transportudvalget	Lars Christian Lilleholt	suit
Transportudvalget	Mike Legarth	suit
Transportudvalget	Morten Marinus	suit
Transportudvalget	Anne Sina	suit
Transportudvalget	Leif Mikkelsen	suit
Transportudvalget	Orla Hav	suit
Transportudvalget	Karina Lorentzen Dehnhardt	suit
Transportudvalget	Kim Christiansen	suit
Transportudvalget	Hans Christian Schmidt	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Esben Lunde Larsen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Mette Hjermind Dencker	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Henning Hyllested	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Thomas Danielsen	suit
Udvalget for Fødevarer	 Landbrug og Fiskeri	Helle Løvgreen Mølvig	suit
